SK_ID_CURR,Contrat,Genre,Voiture,AMT_CREDIT,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_PHONE,OCCUPATION_TYPE,REGION_RATING_CLIENT_W_CITY,REG_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,DEF_30_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,Age,Duree,Anciennete,count,max,ANCxCRED,ANC_par_CRED,Anc_Age,TARGET
126367,0.0,1.0,1.0,1078200.0,7.0,4.0,1.0,0.00823,-1118.0,-1175.0,1.0,0.0,0.0,18.0,2.0,0.0,1.0,1.0,1.0,41.0,0.0,-798.0,30.86849315068493,28.12866870157314,9.361643835616439,4.0,-307.0,10093724.383561645,8.682659836409237e-06,0.3032750510339931,0.0
329260,0.0,0.0,1.0,90000.0,7.0,4.0,1.0,0.005313,-7163.0,-4286.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,28.0,0.0,0.0,41.73698630136986,10.116337885685383,11.315068493150685,1.0,-430.0,1018356.1643835616,0.00012572298325722983,0.2711041092293554,0.0
223304,0.0,0.0,1.0,715500.0,7.0,1.0,1.0,0.010006,-1355.0,-1352.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,-419.0,31.64109589041096,28.081949841045567,7.205479452054795,5.0,-73.0,5155520.547945206,1.0070551295674068e-05,0.2277253441856438,0.0
276609,0.0,0.0,1.0,339241.5,7.0,4.0,1.0,0.016612,-2384.0,-4343.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,-141.0,35.01917808219178,32.57865168539326,0.8767123287671232,0.0,0.0,297417.20547945204,2.5843310112917295e-06,0.025035205758097326,0.0
158144,0.0,0.0,1.0,495216.0,3.0,4.0,1.0,0.030755,-11118.0,-1392.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,-2178.0,48.9013698630137,20.67405598346797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387036,0.0,1.0,1.0,1345500.0,1.0,4.0,1.0,0.072508,-10298.0,-4479.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,55.0,0.0,-720.0,44.62739726027397,34.20269961107298,5.361643835616438,1.0,-1393.0,7214091.780821918,3.984870929480816e-06,0.12014242740499723,0.0
347172,0.0,0.0,0.0,225000.0,7.0,4.0,1.0,0.028663,-6824.0,-4500.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,35.21369863013699,18.436578171091444,4.082191780821918,0.0,0.0,918493.1506849315,1.814307458143075e-05,0.11592624290049015,0.0
108291,0.0,0.0,0.0,269550.0,3.0,4.0,1.0,0.010643,-587.0,-4230.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,-323.0,62.88767123287671,25.58735583084152,0.0,2.0,-296.0,0.0,0.0,0.0,0.0
249404,0.0,0.0,1.0,219870.0,7.0,4.0,1.0,0.018029,-417.0,-3543.0,1.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,-150.0,32.64383561643836,18.886741399304213,2.1671232876712327,0.0,0.0,476485.3972602739,9.856384625784476e-06,0.0663869072597566,1.0
188247,0.0,0.0,0.0,454500.0,7.0,2.0,1.0,0.0096569999999999,-438.0,-2232.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,30.0,2.0,-490.0,28.783561643835615,26.057791537667697,1.8630136986301369,0.0,0.0,846739.7260273972,4.0990400409904005e-06,0.06472491909385113,0.0
